player	pos	team	owner
A.J. Griffin	Oak	SP	FA
Julio Teheran	Atl	SP	FA
Dillon Gee	NYM	SP	FA
Trevor Bauer	Cle	SP	FA
Al Alburquerque	Det	RP	FA
Hyun-Jin Ryu	LAD	SP	FA
Jake McGee	TB	RP	FA
Luke Gregerson	SD	RP	FA
Andrew Cashner	SD	SP,RP	FA
Frank Francisco	NYM	RP	FA
Paul Maholm	Atl	SP	FA
Jeff Niemann	TB	SP	FA
Tyler Skaggs	Ari	SP	FA
David Robertson	NYY	RP	FA
Felix Doubront	Bos	SP	FA
Scott Baker	ChC	SP	FA
Andrew Bailey	Bos	RP	FA
Ryan Cook	Oak	RP	FA
Tyler Clippard	Was	RP	FA
Brandon Beachy	Atl	SP	FA
Santiago Casilla	SF	RP	Mammy's Dumplings
Jos Valverde	Det	RP	FA
Sean Marshall	Cin	RP	FA
Wilton Lopez	Col	RP	FA
David Hernandez	Ari	RP	FA
Darren O'Day	Bal	RP	FA
Mark Buehrle	Tor	SP	RIP Ralph Cifaretto
Ronald Belisario	LAD	RP	FA
Craig Stammen	Was	RP	FA
Koji Uehara	Bos	RP	FA
Colby Lewis	Tex	SP	FA
Jared Burton	Min	RP	FA
Jason Vargas	LAA	SP	FA
Darren Oliver	Tor	RP	FA
Chris Capuano	LAD	SP	FA
Drew Storen	Was	RP	FA
Eric O'Flaherty	Atl	RP	FA
Ross Detwiler	Was	SP,RP	FA
Joel Peralta	TB	RP	FA
Mitchell Boggs	StL	RP	FA
Brad Ziegler	Ari	RP	FA
Joe Smith	Cle	RP	FA
Kelvin Herrera	KC	RP	FA
Bartolo Colon	Oak	SP	FA
Joaquin Benoit	Det	RP	FA
Jerry Blevins	Oak	RP	FA
Octavio Dotel	Det	RP	FA
Miguel Gonzalez	Bal	SP	FA
Jesse Crain	CWS	RP	FA
Wade Davis	KC	RP	FA
Eric Stults	SD	SP,RP	FA
Robbie Ross	Tex	RP	FA
Kyle Kendrick	Phi	SP,RP	FA
Edward Mujica	StL	RP	FA
Junichi Tazawa	Bos	RP	FA
Mike Adams	Phi	RP	FA
Nate Jones	CWS	RP	FA
Josh Collmenter	Ari	SP,RP	FA
Steve Delabar	Tor	RP	FA
